,txId1,txId2,Time step,class_txId1,class_txId2
0,201008617,112834095,36,2,2
1,201003687,201003675,36,2,2
2,184107503,200465307,36,2,2
3,200638608,64364849,36,2,2
4,199321557,10075210,36,2,2
5,219623378,201449665,36,2,2
6,198791041,72907855,36,2,2
7,69822240,86043782,36,2,2
8,200774471,27443500,36,2,2
9,199321355,10075210,36,2,2
10,199938132,200508991,36,2,2
11,200997190,200996856,36,2,2
12,200051546,24339154,36,2,2
13,200032985,200032559,36,2,2
14,200438684,14487702,36,2,2
15,201003724,201003706,36,2,2
16,2921806,201000368,36,2,2
17,7160465,199942873,36,2,2
18,184833091,200032559,36,2,2
19,26394081,200470127,36,2,2
20,115128842,200508991,36,2,2
21,199321380,10075210,36,2,2
22,201419737,206376233,36,2,2
23,200532514,201432010,36,2,2
24,216812228,201003741,36,2,2
25,200622949,200622946,36,2,2
26,72504994,66590338,36,2,2
27,198802015,198801919,36,2,2
28,200739618,200739622,36,2,2
29,200048413,200465307,36,2,2
30,200666341,200977055,36,2,2
31,200638745,200638732,36,2,2
32,200051516,24339154,36,2,2
33,201006734,201006731,36,2,2
34,15973232,21632518,36,2,2
35,200738264,200990304,36,1,2
36,200759308,200759315,36,2,2
37,199955006,201003687,36,2,2
38,14249153,200976671,36,2,2
39,200544799,200544803,36,2,2
40,79470693,200520046,36,2,2
41,25380228,200621643,36,2,2
42,42694213,43746762,36,2,2
43,200659646,201003752,36,2,2
44,36460742,195456317,36,2,2
45,18447613,200649629,36,2,2
46,11780910,200997199,36,2,2
47,215860446,42694213,36,2,2
48,200739627,77175773,36,2,2
49,200469620,200621686,36,2,2
50,11320206,201420450,36,2,2
51,199945135,199945121,36,2,2
52,201007520,201007910,36,2,2
53,14915621,5408397,36,2,2
54,72567022,201433814,36,2,2
55,13338694,16713740,36,2,2
56,201004048,43746762,36,2,2
57,216521845,86043782,36,2,2
58,11780910,200997190,36,2,2
59,201008318,201008323,36,2,2
60,134252201,199951045,36,2,2
61,117628526,200992452,36,2,2
62,26560265,120019034,36,2,1
63,200456497,195456317,36,2,2
64,219628409,219628416,36,2,2
65,43495620,200020510,36,2,2
66,200637376,200977055,36,2,2
67,12067399,120019034,36,2,1
68,200984882,200984879,36,2,2
69,8691444,200950000,36,2,2
70,200711159,64364849,36,2,2
71,200062510,49751552,36,2,2
72,200064568,7846920,36,2,2
73,200624455,200969594,36,2,2
74,199947498,201494647,36,2,2
75,2692055,197655358,36,2,2
76,72902501,51057762,36,2,2
77,200126121,81948747,36,2,2
78,199950597,200469620,36,2,2
79,213127175,26255414,36,2,2
80,198810833,198810823,36,2,2
81,200635469,23065358,36,2,2
82,26229388,120019034,36,2,1
83,70229149,72907855,36,2,2
84,122166858,99189548,36,2,2
85,200774495,200774934,36,2,2
86,77142763,71306396,36,2,2
87,86143479,200520046,36,2,2
88,66158250,25374129,36,2,2
89,65555132,7846920,36,2,2
90,77058948,200635458,36,2,2
91,198805849,198805681,36,2,2
92,100457195,10075210,36,2,2
93,199321362,10075210,36,2,2
94,200657607,200657605,36,2,2
95,200565617,85763115,36,2,2
96,646566,198787819,36,2,2
97,25493733,200624439,36,2,2
98,72504994,201456554,36,2,2
99,203177072,63848074,36,2,2
100,200616032,200986283,36,2,2
101,200992466,200992461,36,2,2
102,198793586,198793579,36,2,2
103,108623828,201006731,36,2,2
104,199321554,200032559,36,2,2
105,216811524,47471554,36,2,2
106,186596922,81948747,36,2,2
107,66754395,47471554,36,2,2
108,200621686,200621681,36,2,2
109,2921806,200990304,36,2,2
110,53862301,200729972,36,2,2
111,198805855,198805681,36,2,2
112,12067399,201420450,36,2,2
113,199939839,120019032,36,2,1
114,46848276,200649629,36,2,2
115,33843382,120019032,36,2,1
116,199934775,199934729,36,2,2
117,205768407,201003681,36,2,2
118,67999086,200987157,36,2,2
119,200629155,200628921,36,2,2
120,200032559,200649629,36,2,2
121,50405501,120019032,36,2,1
122,202051764,200950004,36,2,2
123,77165567,201002448,36,2,2
124,199321392,10075210,36,2,2
125,207987493,200657607,36,2,2
126,201007087,201007085,36,2,2
127,78602033,199940244,36,2,2
128,202570152,217605300,36,2,2
129,24815685,201000368,36,2,2
130,59724636,201003752,36,2,2
131,198793594,198793579,36,2,2
132,15026863,204918142,36,2,2
133,6541729,200990304,36,2,2
134,216572650,219348593,36,2,2
135,200758287,200990304,36,2,2
136,41447158,201456338,36,2,2
137,4209720,200649636,36,2,2
138,25376709,10075210,36,2,2
139,200675377,64364849,36,2,2
140,83486785,59724632,36,2,2
141,201008310,201008314,36,2,2
142,200001458,7846920,36,2,2
143,117914128,199408076,36,2,2
144,198851715,72907855,36,2,2
145,201002450,201002456,36,2,2
146,200052146,200992457,36,2,2
147,200621998,200977055,36,2,2
148,646566,198810823,36,2,2
149,207363644,200950004,36,2,2
150,200650970,200977055,36,2,2
151,198790044,201434285,36,2,2
152,199946705,120019034,36,2,1
153,14487702,200596723,36,2,2
154,25380228,200641856,36,2,2
155,200726247,200726256,36,2,2
156,2070455,200984494,36,2,2
157,2070455,65694686,36,2,2
158,201000132,88843080,36,2,2
159,199938132,120019032,36,2,1
160,26386420,200774461,36,2,2
161,26274328,201942372,36,2,2
162,16713740,25493733,36,2,2
163,200642268,74657803,36,2,2
164,86143479,120019034,36,2,1
165,201003749,24565114,36,2,2
166,53862301,200052323,36,2,2
167,200657619,200981699,36,2,2
168,7988208,199942854,36,2,2
169,73747118,217654794,36,2,2
170,132758264,69490698,36,2,2
171,199941768,97150082,36,2,1
172,200701769,81948747,36,2,2
173,78903789,64364849,36,2,2
174,199942854,199942851,36,2,2
175,216521291,203802264,36,2,2
176,200657637,38930646,36,2,2
177,24815685,200990304,36,2,2
